word	COMPARE	EARLIER	LATER	delta_later
блочный	2.15	2.57	2.63	0.06
боевик	2.25	3.28	2.82	-0.46
ботаник	2.52	3.2	2.16	-1.04
взлом	3.26	3.4	3.03	-0.37
выплеск	3.16	2.76	3.68	0.92
высоколобый	2.19	2.14	2.62	0.48
гермафродит	3.05	3.45	3.0	-0.45
глянец	2.12	2.86	2.21	-0.65
двушка	1.38	2.65	2.56	-0.09
дивизион	3.58	3.79	3.01	-0.78
донорство	2.72	3.62	3.34	-0.28
драйвер	1.29	3.0	2.8	-0.2
завязка	1.86	2.07	1.77	-0.3
загрузка	2.09	2.54	2.19	-0.35
знамя	3.11	2.97	2.66	-0.31
игра	2.28	2.39	2.11	-0.28
инкубатор	2.19	3.54	2.49	-1.05
исполнитель	2.6	2.74	2.54	-0.2
карта	1.85	2.28	1.58	-0.7
классный	1.43	2.44	2.17	-0.27
корпус	1.77	2.26	1.95	-0.31
ломберный	3.72	3.94	3.55	-0.39
модель	2.49	2.21	1.97	-0.24
мыло	3.21	3.43	3.07	-0.36
однодневка	2.56	2.76	3.22	0.46
орбита	2.53	2.26	3.07	0.81
пакет	1.65	2.78	2.23	-0.55
перестройка	2.14	2.43	3.1	0.67
погрешность	3.0	2.84	3.44	0.6
подстава	1.0	3.3	2.8	-0.5
приношение	2.91	3.22	2.84	-0.38
приставка	2.13	1.97	2.45	0.48
провальный	1.96	1.87	3.65	1.78
раскрутка	2.13	2.83	3.3	0.47
рождество	3.15	3.6	2.69	-0.91
рынок	1.82	2.59	3.1	0.51
рыночный	2.36	2.33	3.37	1.04
свинцовый	1.99	2.17	1.93	-0.24
стачка	2.84	3.45	2.97	-0.48
стиль	2.74	2.83	2.43	-0.4
удвоение	2.98	2.87	3.7	0.83
флакон	3.48	3.72	3.11	-0.61
четырехлетка	1.07	3.07	2.8	-0.27
